corpus	sentence
itwac	Se lo guardi in ottica più rock ( e un po' talebana ) , il concerto può sembrarti nulla più che una sequela di ballads che  non decollano mai ' : la [SEP] spada [SEP] è stata davvero sguainata solo nel pezzo di chiusura e con il gospel-tribale di " Prayer for freedom " con cui è finita la prima parte .
itwac	La sua statua lo rappresenta con la mano destra con una [SEP] spada [SEP] rivolta in basso e la mano sinistra al petto .
itwac	Ma noi non l' ascoltammo e appena si svegliò ci vide che banchettavamo con le vacche , uccise da noi con le sue [SEP] spade [SEP] .
itwac	E d' un colpo tutti i nemici della terra boema perderanno la testa , mozzata dalla [SEP] spada [SEP] invincibile dell' implacabile San Venceslao e " la terra di Boemia vivrà in tranquillità e in pace per tutti i secoli dei secoli " .
itwac	Spiccano i preziosi broccati e i velluti delle vesti e ovunque sono sparsi dettagli eseguiti a rilievo in vero oro zecchino , i finimenti dei cavalli che brillano al sole , i monili e le corone , le aureole , le else delle [SEP] spade [SEP] .
itwac	Teseo andò sulla luna con delle [SEP] spade [SEP] e con delle catapulte .
itwac	splendidi i disegni di dall agnol " Io sono il foglio di carta sulla strada che a ogni soffio di macchina o di camion si erge e grida credendosi una [SEP] spada [SEP] : io sono quel foglio di carta e niente più " ( Tiziano Sclavi ) triss Posted - 10/19/2004 : 22:33:46 Caccia alle steghe fu più d' un semplice fumetto ...
itwac	Un tempo usavano i forconi e le [SEP] spade [SEP] , oggi le carovane .
itwac	Stai tranquillo , tanto gli [SEP] spada [SEP] a Pesaro ce ne sono pochi .
itwac	Prontamente egli afferrò la [SEP] spada [SEP] e balzò in piedi .
itwac	Nella prima fase kurt zisa ha due sfere in mano , bisogna distruggerle , quando vi avvicinate attaccate una delle due sfere ma non fate più di una combo perchè farà una mossa con le [SEP] spade [SEP] che se vi prenderà vi arrecherà molti danni inoltre se siete lontani dal mostro potrebbe fare uno scatto con affondo delle lame esterne e colpirvi , una volta distrutte le sfere il vero nucleo di kurt zisa verrà fuori , in questo momento dovrete assolutamente attivare aeroga e iniziare a colpirlo visto che dopo un po' si ritirerà e inizierà la seconda fase , se tutto va bene durante questo lasso di tempo dovreste riuscire a toglierli una barra intera di energia .
itwac	Ecco uno dei suoi sijo : Alla luce della luna sull' isola Hansan tutto solo brandisco la [SEP] spada [SEP] al mio fianco perduto in pensieri agitati .
itwac	Un vero peccato , perché in quelle acque così turbolente , da marzo a giugno è possibile pescare i pesci [SEP] spada [SEP] più grossi del mondo .
itwac	Nella destra teneva una [SEP] spada [SEP] sguainata e si guardava continuamente d' attorno ...
itwac	Era una secca a 30 miglia al largo Scherzo ovviamente , ma anche da noi [SEP] spada [SEP] di 2,5 metri a 100 metri dall' imboccatura del porto che dava dietro al vivo , per non parlare di delfini nella darsena .
itwac	Spada di bronzo [SEP] Spada [SEP] di marra Con punta arrotondata per l' insegnamento nelle accademie di scherma .
itwac	Uno spazio in forma di talk-show dove gli adulti possono confrontarsi sulle questioni che stanno loro più a cuore , in compagnia di professionisti del settore e del giornalista Francesco [SEP] Spada [SEP] di Radio Nettuno .
itwac	Sentendone altri decise di vedere chi fosse , si alzò , prese la [SEP] spada [SEP] ed uscì .
itwac	Ma giorno alla fine verrà  così un altro aedo prezzolato , che [SEP] spade [SEP] immaginate come le sue vide e molte  caro Pento ( tal ) , che queste buffonate cesseranno : non appena chi si è fatto carico , inspiegabilmente , insondabilmente , dell' ermeneutica del prelogico e del preumano  disciplina certo importante , ma da affrontare piuttosto tra pareti imbottite  capirà di essere stato preso in giro e continuo oggetto di riso .
itwac	Ergo ti mando si la [SEP] Spada [SEP] di Iside ...
itwac	Shea Ohmsford è l' unica persona nelle Quattro Terre in grado di impugnare la leggendaria [SEP] Spada [SEP] di Shannara , il solo talismano capace di distruggere il potentissimo Signore degli Inganni .
itwac	Macerata risorge grazie a Wijsmans e Mastrangelo , ma il muro di casa è spietato quando si va ai vantaggi : sul 24 - 24 , prima Stelmach , poi [SEP] Spada [SEP] , bloccano Miljkovic chiudendo il set sul 30 - 28 in favore della Sira .
itwac	Ci sta sopra come una [SEP] spada [SEP] di Damocle Fanculo all' amore Fanculo al disprezzo che provo per tutto .
itwac	Fu colpito ancora con la [SEP] spada [SEP] alla testa , poi un violento colpo di mazza gli spaccò il cranio .
itwac	La prima intromessa è così descritta dal Castiglione : " La prima fu una moresca di Iasón , il quale comparse nella scena da un capo ballando , armato all' antica , bello , con la [SEP] spada [SEP] e una targa bellissima dall' altro furon visti in un tratto due tori tanto simili al vero , che alcuni pensàrno che fosser veri , che gittavano fuoco dalla bocca .
itwac	L' idea era quella di tatuarmi la [SEP] spada [SEP] dia Arthas di WC 3 , Frostmoon credo che si scriva così , ma non ho trovato un disegno decente su internet , voi ne avete ?
itwac	Un saluto giorgio Ciao Nettuno , anche dalle nostre parti il peso medio degli [SEP] spada [SEP] pescati coi palamiti dai professionisti è sui 20 kg. Ma se anziche continuare a calare il palamito alle stesse batimetriche lo calassero piu a fondo e magari uscissero 10 - 20 miglia più fuori chissà se il peso medio sarebbe sempre lo stesso .
itwac	In realta' portava una [SEP] spada [SEP] nascosta sotto il pesante mantello di tela marrone , e nella mano che teneva aderente ad una coscia , si trovava sicuramente una corta lancia con la punta d' acciaio , un arma da lancio che , se posta dalla mano giusta , poteva trapassare la piu' solida delle corazze e spaccare in due il cuore di un uomo .
itwac	Radunati dinanzi alle mura 2700 soldati di Saladino , con circa 300 donne e bambini legati a loro per mezzo di corde , furono trasformati in un ammasso di carne sanguinolento , con [SEP] spade [SEP] , lance , pietre fino a quando cessò l' ultimo lamento .
itwac	" Della vostra [SEP] spada [SEP] , così come del vostro naso del resto , ho sentito storie che mi erano parse incredibili ...
itwac	Hedra gli passò la [SEP] spada [SEP] .
itwac	Dopo essere stato reclutato , Gatsu dovrà ambientarsi , ma [SEP] spada [SEP] al fianco egli affronterà le sue notti sempre nella stessa maniera , solitario e pieno di dubbi circa una esistenza priva di sogni .
itwac	La donna vestiva una cotta di maglia e teneva in mano la sua [SEP] spada [SEP] , a cui si appoggiava .
itwac	Ogni gente sia libera e pera Della [SEP] spada [SEP] l' iniqua ragion - afferma che sui loro stendardi " Sta l' obbrobrio d' un giuro tradito " perchè essi non hanno mantenuto la promessa di render libera l' Italia , che contro il diritto delle genti tengono schiava .
itwac	Per quella strada che vien dritto al ponte di san Michel , sì popolata e piena , corre il fiero e terribil Rodomonte , e la sanguigna [SEP] spada [SEP] a cerco mena : non riguarda né al servo né al signore , né al giusto ha più pietà ch ' al peccatore .
itwac	Si tratta , quindi , di un' analisi estremamente interessante compiuto da un gruppo di lavoro che , oltre al prof. Fanni , ha visto impegnati Francesca [SEP] Spada [SEP] , Alessandra Mura e Vincenzo Certo .
itwac	Si vedeva uomini e donne d' ogni condizione , vescovi e sacerdoti recanti vasi sacri salvati dalle rapine , monaci e innocenti spose di Cristo , che con la fuga si sottraevano o alle [SEP] spade [SEP] nemiche o agli insulti brutali di uomini perduti .
itwac	« Sono qui con la [SEP] spada [SEP] sguainata , la mia fede non è stata scalfita dalla malattia .
itwac	8 Il suo tempio è diventato come un uomo ignobile , 9 gli ornamenti della sua gloria sono stati portati via come preda , sono stati sgozzati i suoi bambini nelle piazze e i giovinetti dalla [SEP] spada [SEP] nemica .
itwac	Ogni videogiocatore può scegliere qual è lo stile a lui più consono : chi predilige la [SEP] spada [SEP] userà lo Swordmaster , per le armi da fuoco c' è il Gunslinger ) , per le acrobazie sfruttando spade e armi da fuoco si può selezionare il Trickster , per chi invece sceglie una tattica più " difensivista " c' è il Royal Guard ; I due stili segreti sono il Quicksilver e il Doppelganger che permettono rispettivamente di fare movimenti velocissimi e di " sdoppiare " il proprio corpo per confondere il nemico .
itwac	Scene simili richiedono Charlie Chaplin : nei penetrali dell ´ Hotel Excelsior , senza giacca , un pantalone sollevato a mezza gamba , genuflesso ; il celebrante gl ´ impone la [SEP] spada [SEP] .
itwac	Sulla brace avremmo cotto i gamberoni , gli scampi , lo [SEP] spada [SEP] .
itwac	Caddero entrambi e Dario alzando ad arco il braccio , affondò la [SEP] spada [SEP] nel petto dell' avversario .
itwac	scritto da alle ore 21:16 commenta leggi commenti ( 0 ) 22.12.2004 IL FiSCHIO DEL VAPORE Il Fischio del Vapore ( F. De Gregori  G. Marini ) Sento il fischio del vapore del mio amore che ' l va via Sento il fischio del vapore del mio amore che ' l va via E l' è partito per l' Albania chissà quando ritornerà Ritornerà sta primavera con la spada insanguinata Ritornerà sta primavera con la [SEP] spada [SEP] insanguinata E se mi trova già maritata ohi che pena ohi che dolor !
itwac	Le persone arrestate a Roma sono : Michele Vezzoso , di 36 anni , residente a Mondovì ; Vincenzina [SEP] Spada [SEP] di 39 anni residente a Mondovì per ordine carcerazione tribunale Montepulciano ; Silvamo Niemen di 27 anni residente a Mondovì .
itwac	Anarth aveva indicato lui con la sua [SEP] spada [SEP] , in segno di sfida , decretando cos = EC , quasi certamente , la sua morte .
itwac	Pochi istanti dopo , il mezzelfo approfittò di una falla nella difesa dell' avversario di fronte a lui ferendolo gravemente , mentre teneva a bada il sicario armato di pugnale che era spuntato da un vicolo pensando di coglierlo alle spalle e che invece si era trovato a lottare per salvarsi la vita quando questo aveva estratto una [SEP] spada [SEP] lunga dall' altro fodero .
itwac	Riguardo agli [SEP] spada [SEP] , da anni lo studio e lo inseguo prima solo col palamito , ma da un paio d' anni anche a traina .
itwac	[SEP] Spada [SEP] è stato direttore del quotidiano cattolico diocesano L' Eco di Bergamo per oltre mezzo secolo : un caso da guinness dei privati .
itwac	La [SEP] spada [SEP] dei sikh - 6 .
itwac	Respirò profondamente cercando di calmarsi e muovendo la mano destra sotto il mantello andò a cercare l' elsa della [SEP] spada [SEP] , solo quando l' ebbe afferrata si sentì più sicura e potè concentrarsi su ciò che realmente la vecchia stava facendo .
itwac	Perché tu e il tuo popolo vorreste morire di [SEP] spada [SEP] , di fame e di peste , come ha preannunziato il Signore per la nazione che non si assoggetterà al re di Babilonia ?
itwac	gli evil colpi di berto : [SEP] SPADE [SEP] Danza delle 2 spade : questa mossa si esegue solo con 2 spade , e si basa sulla velocità e la potenza .
itwac	IL TUO NEMICO E' LA TUA ULTIMA ARMA Hai reciso un braccio al tuo nemico e nella violenza dell' urto hai rotto la [SEP] spada [SEP] ...
itwac	" Felsidir si alzò in piedi , brandendo la [SEP] Spada [SEP] con entrambe le mani .
itwac	Ti difenderò a [SEP] spada [SEP] tratta .
itwac	La [SEP] spada [SEP] di Damocle che pende sul mio capo , puntualmente , ogni anno .
itwac	Anche in questo caso occorre far certificare dal personale la circostanza e inoltrare la richiesta di rimborso a " Trenitalia SpA - Divisione passeggeri - via di Villa [SEP] Spada [SEP] , 72 - 00138 Roma " , allegando il relativo biglietto e documentazione .
itwac	Uno stelo corposo sorge da terra dove si incrociano le [SEP] spade [SEP] della insegna e prosegue verso l' alto articolandosi in rametti che terminano con piccoli fiori e viticci .
itwac	E' vero che queste modifiche riguardano essenzialmente i collaboratori scolastici , ma non bisogna dimenticare che su tutti pende la [SEP] spada [SEP] di Damocle dei " tetti regionali " che non permetteranno alcun adeguamento , anche in presenza di aumento degli alunni .
itwac	 Mi fermo , disse don Chisciotte , perché non mi è lecito di metter mano alla [SEP] spada [SEP] contro gente abbietta ; ma chiamate qui il mio scudiere Sancio Pancia , che a lui può convenire questa difesa e vendetta .
itwac	Severo scosse il capo e impugnò saldamente la [SEP] spada [SEP] sollevandola d nuovo contro la sua avversaria .
itwac	" Mano alle [SEP] spade [SEP] , amici " comandò il filibustiere .
itwac	Quando , nel 1813 , l' accademia Ellenica si scinde dando vita a quella Tiberina , scopo della quale è promuovere gli studi storici su Roma , il Belli , insieme a Francesco [SEP] Spada [SEP] , aderisce a quest' ultima .
itwac	hehe allora er polloARENA o VALLESPLUGA dopo er liv 20 me sembra ^ ^ ' puoi fare la quest a Jeuno pe piallo Indi quasi tutti nella nostra LS lo hanno , poi nelle città se pò fà qualcosina de interessante ^ ^ , per il nome Ragnarok è il nome di uno dei 33 server di FFXIdove siamo noi ( azz per informazione i nomi che hanno usato li hanno presi dalle precedenti saghe in questo caso la Ragnarok è la [SEP] spada [SEP] + potente di Steiner in FFIX che ti permetteva de apprende shok che te infliggeva quei 9999 sicuri sicuri ad ogni boss o mostro , CMQ il nome Ragnarok anche in precedenti FF è stato affibiato sempre ad una delle spade più potenti , vedi anche FFVI etc ) azz CIAE
itwac	Se avete seguito l' ordine in modo corretto , potrete così sbloccare la [SEP] spada [SEP] del vento ( Kuga ) sita nella statua della bestia .
itwac	Non appena sbarcato , New York gli appare dominata da un' insolita Statua della Libertà che , al posto della fiaccola , brandisce una [SEP] spada [SEP] vendicativa e minacciosa .
itwac	[ * 5 ] Era la [SEP] spada [SEP] medesima che era stata data da Luigi XIV , a Filippo V , quando questi partì per la Spagna e da Filippo V , a Carlo III al suo partir per Napoli .
itwac	D' amore , di horror , di fantascienza , di cappa e [SEP] spada [SEP] , gialli , rosa , neri .
itwac	Saluti net br Ciao Nettuno , sai dirmi se in medio-basso adriatico ( Bari ) , si può trainare con successo agli [SEP] spada [SEP] ?
itwac	No problem Lâ  TMimminente scomparsa della benzina rossa sembrerebbe una [SEP] spada [SEP] di Damocle , pronta a far piazza pulita delle " carrette " che proprio non vogliono saperne di bere la verde .
itwac	Quello fa passare per la [SEP] spada [SEP] un gruppo di eretici detti " foghe rosse " e loro " dai , bruto , non ti diciamo niente , ma avrai anche tu un rimorso di coscienza e quando ti convincerai ad andare in giro flagellandoti in pentimento vestendo il cilicio noi finalmente prenderemo possesso del tuo trono " A questa minaccia il bruto stranamente non se la prese , anzi , aggiunse " Venite qua belle , venite , stasera tutti a cinema " ...
itwac	Corse verso le scale che conducevano al secondo piano , dove era certo di trovare Suzume , ma due uomini erano già pronti a bloccargli il passaggio con le [SEP] spade [SEP] puntate verso di lui .
itwac	Essa sarà data in preda ai popoli e le sue figlie in piena campagna saranno uccise di [SEP] spada [SEP] ; allora sapranno che io sono il Signore .
itwac	E quanto l' ira e la superbia crebbe , tanto e più crebbe in lui forza e valore : fece spiccare a Brigliadoro un salto verso Ruggiero , e alzò la [SEP] spada [SEP] in alto .
itwac	Altri resti provenienti dal castello , monete di rame , armi furono rinvenute accanto a sepolture di guerrieri con le loro [SEP] spade [SEP] , scavate nel terreno e ricoperte da lastre di pietra ; carboni ed indizi di combustione ; frammenti di ceramica ; nel 1750 si rinvenne un cranio di prodigiose dimensioni , conservato poi dal cappellano Dusi : le tibie erano lunghe quanto un' intera gamba di un uomo di statura media .
itwac	Francesca [SEP] Spada [SEP] Esperienza Il caso Banca Intesa e learn eXact .
itwac	Ma il potere di Grayskull è infuso anche nella [SEP] Spada [SEP] del Potere , in possesso del principe Adam , figlio di Randor .
itwac	Ciao Edited by - giorgio on 10/05/2004 21:46:19 dryflower sono daccordo sull provare , anche dopo giornate conseguitive , di capotti , rig le catture per motivi di lavoro esco di piu la notte , ma ho avuto allamate di prima mattina , magari dopo aver passato la nottata , SENZA SUCCESSO , DI SALITO FILO UNA CANNA A 30 MT UNA 12 15 MT E UNA CENTRALE A GALLA A POCHI MT DALLA BARCA , MENTRE DI GIORNO UNA LA MANDO A POCHI MT DALL FONDO , SO DI CERTO CHE LO [SEP] SPADA [SEP] E PIU UN PREDATORE DIURNO CHE NOTTURNO .
itwac	Voi vi appoggiate sulle vostre [SEP] spade [SEP] , compite cose nefande , ognuno di voi disonora la donna del suo prossimo e vorreste avere in possesso il paese ?
itwac	Nel 1891 vennero alla luce alcune tombe dell' età del ferro e nel 1955 - 56 , durante i lavori di ricostruzione del castello ad opera della famiglia Greppi , attuale proprietaria , affiorarono punte di frecce in ferro con cuspide triangolare , [SEP] spade [SEP] ed elmi .
itwac	Nabucodonosor deportò in Babilonia quelli che erano sopravvissuti alla [SEP] spada [SEP] ...
itwac	E' grottesca questa [SEP] spada [SEP] di Damocle per cui fin dalla più tenera età , a due anni , ci si dovrebbe curare come se se ne avesse sessanta .
itwac	I sensitivi più dotati si sono rivelati gli illusionisti , che non pretendono di diffondere energia cosmica , spiegano ogni loro performance , ma si sdraiano su aghi di 20 cm , si mangiano [SEP] spade [SEP] , si fanno buttare incatenati in fondo al mare .
itwac	Rendendoli così anonimi , tanto quanto lo loro armi che non erano simili né a quelle degli uomini del Drago d' Oro , lunghe [SEP] spade [SEP] con un unico lato affilato , simili a Kageboshi , ma di minor pregio , né a quelle che usate dai Combattenti addestrati sugli Sin-sei-na , che potevano essere le lance degli Yaribushi rossi del Monte Bootei oppure le spade dei Combattenti della trasparenza del Monte Toomei , inutile poi paragonarle alle armi dei guerrieri kage che erano poco più che coltelli e lame adatte per essere nascoste tra le vesti .
itwac	Chariza non aveva mai visto [SEP] spade [SEP] come quelle , la lama , affilata su entrambi i lati , era larga almeno il doppia di quella delle spade sipalesi , anche se più corta di circa cinque centimetri , ed era dritta come una spiga di grano , l' impugnatura era arricchita da un' elsa ampia che la separava completamente dalla lama e dove erano incisi segni decorativi astratti .
itwac	Ma tutti coloro che intendono le Scritture nel senso spirituale , hanno imparato a intendere che questi termini non indicano membra corporee , ma potenze spirituali , come anche le corazze lo scudo , la [SEP] spada [SEP] e molte altre simili cose 40 .
itwac	In quest' epoca prevale ancora l' uso della [SEP] spada [SEP] e dello scudo dove al solo scudo è adibito l' uso della parata e alla spada della risposta .
itwac	Alcuni demoni-lupo , dopo aver sbranano qualche soldato che si era posto a difesa dell' Imperatore , si stavano dirigendo verso di lui e Yukai era stato portato lontano da un cavaliere bianco che teneva impegnata la sua [SEP] spada [SEP] .
