corpus	sentence
itwac	VISITA DEL PRESIDENTE DELLA REPUBBLICA CARLO AZEGLIO CIAMPI IN SICILIA INCONTRO CON LE AUTORITA' Catania - Palazzo degli [SEP] Elefanti [SEP] , 14 gennaio 2000 Signor Presidente della Regione , Signor Presidente dell' Amministrazione Provinciale , Signor Sindaco , Illustri Deputati delle Assemblee Nazionali e della Assemblea Regionale , che siate qui presenti , soprattutto voi Sindaci della Provincia di Catania , così numerosi in questa sala , non sapete quanto a me faccia piacere .
itwac	bella bella questa espressione la terrò a mente purtroppo c' è da dire che sono [SEP] elefante [SEP] non solo nella stazza ma anche nella memoria soprattutto se si tratta di torti subiti magari cattiverie gratuite ...
itwac	Le tolse il vassojo dalle mani e uscì per rientrare poco dopo con un altro vassojo di lacca , nuovo fiammante , che reggeva una magnifica rosoliera : un [SEP] elefante [SEP] inargentato , con una botte di vetro sul groppone , e tanti bicchierini appesi tutt ' intorno , che tintinnivano .
itwac	Aveva un solo difetto : nonostante i suoi grandissimi orecchi , l' [SEP] elefante [SEP] era sordo .
itwac	Entrambe le ragazze , che hanno passato le ultimissime settimane a scorrazzare su [SEP] elefanti [SEP] , visitare templi e scherzare con le altre concorrenti sulle spiagge già colpite dallo tsunami , sono date 12 a 1 per succedere all' australiana Jennifer Hawkins .
itwac	Nello stesso giorno , oltre agli avvistamenti , subiamo una minaccia di carica da parte di un giovane [SEP] elefante [SEP] e buchiamo ( ancora !
itwac	A Castel di Guido , si sono rinvenute numerose testimonianze di un' intensa utilizzazione dell' osso di grossi mammiferi ( bue , [SEP] elefante [SEP] ) ; da questa materia prima , che sostituisce la scarsa selce localmente disponibile , sono stati ricavati numerosi strumenti .
itwac	8 ° giorno  Chiang Mai / Chiang Rai Partenza per Tha-Ton via Mae Ping dove si vedono gli [SEP] elefanti [SEP] al lavoro .
itwac	Nel silenzio assoluto , con quella sua voce roca per l' abuso d' alcool , spiritosamente mi disse Tenente , per la prossima sfilata veda di procurarsi anche qualche [SEP] elefante [SEP] !
itwac	Bagno di folla a Milano per uno strepitoso Robbie Williams Come sempre la presenza di Robbie Williams in una grande città equivale al passaggio di un [SEP] elefante [SEP] in un negozio di porcellana : giunto a Milano , l' ex Take That , che non ha mai brillato in quanto a simpatia soprattutto nei confronti delle sue fan , si è dimostrato questa volta decisamente disponibile .
itwac	Per contatti : Comitato contro l' [SEP] elefante [SEP] Mail : info.elefante@libero.it tel. 349 6995465 Elenco degli alberi abbattuti e a rischio nelle zone 2 , 3 e 4 di Milano Media : Un articolo sull' Elefante , dal blog del programma RAI " La radio a colori " La campagna del Corriere della Sera di Milano a difesa degli alberi dai parcheggi sotterranei .
itwac	In alcune parti dell' Africa gli [SEP] elefanti [SEP] sono una vera e propria calamità per l' agricoltura e le popolazioni locali .
itwac	Ma non solo , gli [SEP] elefanti [SEP] , dopo aver terminato l' operazione , azionano lo sciacquone con un preciso movimento della proboscide .
itwac	[SEP] Elefante [SEP] - Est .
itwac	Ad Aberdare si trovano anche le eccezionali cascate Gura Falls , alte 300 m , brughiere alpine e qualche sparuto esemplare di leopardo nero , [SEP] elefante [SEP] , rinoceronte e bongo ( le antilopi dalle corna a spirale ) .
itwac	Da vedere Il Parco Nazionale Niokolo-Koba E' il più grande del Senegal , occupa una vasta porzione dell' angolo sud-orientale del paese caratterizzato da una vegetazione ricca e lussureggiante ospita più di ottanta specie diverse di mammiferi , compresi [SEP] elefanti [SEP] , leoni , leopardi e antilopi giganti ; si avvistano anche ippopotami , coccodrilli , babbuini , bufali , scimmie .
itwac	( g.b. ) ----- Caccia per studio allo squalo elefante http://ilrestodelcarlino.monrif.net/chan / 2/18:1973377 : / 2001/03/24 RAVENNA  Gli squali [SEP] elefante [SEP] nelle acque di casa nostra si stanno rivelando un prezioso tesoro per la scienza e saranno seguiti da vicino grazie a una sonda che verrà loro applicata per seguirne i movimenti .
itwac	Al Cocò di Via Vigonovese a Padova festa anni '70 con zatteroni , parruccone e pantaloni a zampa d' [SEP] elefante [SEP] con la band Planet 70 .
itwac	Si mette un [SEP] elefante [SEP] sopra ?
itwac	Siamo l' [SEP] elefante [SEP] cattivo che deve essere abbattuto , quando in realtà Telecom vuole la concorrenza , ma non la vuole nei tempi biblici della burocrazia italiana " .
itwac	to Agostino [SEP] Elefante [SEP] f .
itwac	Spavento prodotto nelle schiere maomettane dalla moltitudine degli [SEP] elefanti [SEP] , uno dei quali uccide il capitano Arabo .
itwac	E a tratti per il proseguire della moria di uccelli , tigri , pantere , ippopotami , cammelli , [SEP] elefanti [SEP] , orsi , zebre , rettili , mentre altri esemplari ( come due giraffe ) sono oggi in arrivo .
itwac	Ancora meno i nomi dei ricchi personaggi sorridenti che siedono su comodi velluti in cima ad [SEP] elefanti [SEP] con baldacchino e schiavi a guidarli .
itwac	L' [SEP] elefante [SEP] può arrivare a 75 - 78 anni e , dopo la testuggine delle Galapagos , è tra gli esseri più longevi ( che vivono di più ) sulla terra .
itwac	[ 43 ] Eleàzaro , chiamato Auaran , vide uno degli [SEP] elefanti [SEP] , protetto di corazze regie , sopravanzare tutte le altre bestie e pensò che sopra ci fosse il re ; [ 44 ] volle allora sacrificarsi per la salvezza del suo popolo e procurarsi nome eterno .
itwac	Avete presente una lattina sotto la zampa di un [SEP] elefante [SEP] ?
itwac	Oltre alle mucche , ricevettero terre , oro , case , cavalli ed [SEP] elefanti [SEP] , mentre coloro che non erano ancora sposati ebbero spose , ancelle , cereali , argento , utensili , vestiti , gioielli , mobili , carri e così via .
itwac	Così , il cacciatore aveva una zanna dell' [SEP] elefante [SEP] ucciso , ma quella a contatto col suolo era del capo .
itwac	Il leone riesce , sempre piu' a fatica , a rialzarsi con una zampa rotta e qualche costola incrinata , ma si rifa sotto all' elefante e gli grida : " [SEP] Elefante [SEP] , ma se non ti ricordi , e' inutile che ti incazzi tanto !!!
itwac	nel Nord a piedi e in [SEP] elefante [SEP] Trekking nella giungla Il Nord del paese ben si presta agli esploratori " zaino in spalla " .
itwac	il gatto , il topo l' [SEP] elefante [SEP] ...
itwac	Chiudevano l' ala sinistra duemilacinquecento Galati , mille Nocreti , millecinquecento soldati di Caria e di Cilicia e altrettanti Tralli , tremila cetrati di Pisidia , di Panfilia e di Licia , quattromila arcieri e frombolieri elimei e cirtei e sedici [SEP] elefanti [SEP] .
itwac	Solo chi già conosce l' elefante , può dire che l' animale che s' avvicina e incombe enigmatico , è un [SEP] elefante [SEP] ; soltanto chi conosce mio zio può dire che l' uomo che si atteggia istintivamente a difesa è mio zio e così via .
itwac	Perciò che pare essere un fiume , acciò che io così dica , piano e profondo , nel quale il piccioletto agnello con gli piè vada , e il grande [SEP] elefante [SEP] ampissimamente nuoti .
itwac	5 E quota ingresso conferenze da diritto al biglietto ridotto per visitare l' Acquario di Cattolica a 9,50 E anziché 12,50 E. Prossimo incontro : 2 agosto : Il gigante buono - Lo squalo [SEP] elefante [SEP] Relatori : Marco Affronte - Irene Bianchi - Roberto Venturini Proiezione del filmato " The basking shark in the Adriatic Sea " Per Informazioni Ufficio Stampa : Parco Le Navi 0541 8371 - e-mail : Roberta Bagli
itwac	Tutte le vie , le strade e i viali di Hastinapura erano stati spruzzati d' acqua profumata con l' aiuto delle proboscidi di [SEP] elefanti [SEP] ebbri .
itwac	L' iniziativa delle luci di posizione per [SEP] elefanti [SEP] è nata da Ashok Kumar in collaborazione con un giardino zoologico britannico , e salverà la vita a molti elefanti in giro di notte per New Delhi .
itwac	Torno dunque a ridirmi , e dico che quando la Terra si muovesse , le pietre , gli [SEP] elefanti [SEP] , le torri e le città volerebbero verso il cielo per necessità ; e perché ciò non segue , dico che la Terra non si muove .
itwac	Ci sono circa 400 mila [SEP] elefanti [SEP] di savana .
itwac	Gli [SEP] elefanti [SEP] allora , presi dallo spavento , in un primo momento avevano preso ad aggirarsi e a cercare scampo in ogni direzione , ma quando si erano visti circondati da ogni parte dal fiume avevano perduto ogni coraggio e si erano visti costretti a restare fermi alloro posto ...
itwac	E' da far risalire a questa epoca probabilmente il rinvenimento dell' [SEP] elefante [SEP] effettuato nella miniera dell' Acquaforte .
itwac	Sotto le arcate dei ponti , manipoli di guerriglieri egiziani , siriani e sudanesi con la fascia del martire legata alla fronte cercano di resistere : ma i loro lanciagranate , davanti ai cannoni dei carri americani , sono come pungiglioni di vespa davanti alle zanne di un [SEP] elefante [SEP] .
itwac	GLI INGEGNERI vanno a caccia di [SEP] elefanti [SEP] andando in Africa , catturando tutti gli animali grigi che trovano e fermandosi quando ne catturano uno che pesi il 15 per cento in piu' o in meno di un elefante osservato in precedenza .
itwac	Non si tutela il numero di cellule , altrimenti l' [SEP] elefante [SEP] sarebbe da tutelare più dell' uomo , ma l' essere umano , che non è solo la somma delle cellule .
itwac	Mezzaro dal ' [SEP] elefante [SEP] bianco Tra il  500 e il  700 i maggiori centri per la produzione e la lavorazione della seta erano Genova e la Riviera di Levante , considerate capitali mondiali della produzione tessile .
itwac	Se si orienta verso animali grandi , come [SEP] elefanti [SEP] o gaur , punta soltanto sui più giovani e in questi casi lacera loro i tendini all' altezza delle ginocchia con le sue zampe anteriori , per renderli impotenti .
itwac	Lui però lo vedevo nel bianco e nero di un televisore che da decenni è sepolto in qualche cimitero degli [SEP] elefanti [SEP] .
itwac	Mentre l' elefante africano ha due protuberanze carnose e mobili , sulla proboscide , l' [SEP] elefante [SEP] asiatico ne ha una sola .
itwac	in fondo , non è poi così futile la vecchia battuta sugli [SEP] elefanti [SEP] che fanno paracadutismo o gli ippopotami che lasciano le tracce nel burro del frigorifero , o meglio sono divertenti paradossi centrati sulla realtà molto seria del rapporto " dimensionale " tra i vari elementi di un ecosistema , naturale o umano che sia .
itwac	Mi sento solo di dire che la mia opinione assomiglia a quella di Alex ( Matrix ) , ossia che forse , come spesso accade , non si vede l' [SEP] elefante [SEP] che sta dietro il filo d' erba ...
itwac	Nel XIX secolo l' esploratore Joseph Thomson scrisse che nei successivi 20 anni gli [SEP] elefanti [SEP] si sarebbero estinti ( 50 anni dopo , l' Inghilterra importava 450 tonnellate di avorio all' anno ) .
itwac	In India , come in Africa , gli [SEP] elefanti [SEP] che vivono in aree agricole diventano " mangiatori di raccolti " .
itwac	sarebbe come tentare di infilare un [SEP] elefante [SEP] un una scatoletta da tonno .
itwac	La " Società degli [SEP] Elefanti [SEP] " ha fedelmente riprodotto una corazza da cavaliere da un affresco .
itwac	I topolini , silenziosi , sono piccoli e abbietti , gli [SEP] elefanti [SEP] no , loro sono grandi ed ammirati , e barriscono .
itwac	Il suo apporto era fondamentale perché aveva portato ben 120 [SEP] elefanti [SEP] indiani , di quella stessa razza che tanti dispiaceri aveva dato all' esercito macedone nella battaglia dell' Idaspe .
itwac	Notizie bestiali Gatti , [SEP] elefanti [SEP] e creature misteriose ...
itwac	Di seguito il risultato : Canzoncina Un [SEP] elefante [SEP] si dondolava sopra un filo di ragnatela e ritenendo la cosa interessante andò a chiamare un altro elefante .
itwac	In base all' accordo i due circhi si impegnano a donare a Paws alcuni [SEP] elefanti [SEP] nell' arco dei prossimi tre anni e i fondi necessari alla loro cura presso ' Ark 2000 ' , la struttura che sorgera' in un' area all' interno di un parco pubblico vicino a San Andreas , nel nord della California .
itwac	Sul mercato dell' emittenza televisiva in chiaro operano a livello nazionale la società RAI Radiotelevisione Italiana Spa e la società Mediaset Spa , ciascuna con tre emittenti televisive , nonché CGC con due emittenti televisive ed infine Rete A e Rete Capri 77 [ Le Parti hanno sottolineato che , secondo quanto previsto dalla delibera dell' AGCOM n. 78/98 recante " Regolamento per il rilascio delle concessioni per la radiodiffusione televisiva privata su frequenze terrestri " , il Ministero delle Comunicazioni ha rilasciato in data 31 luglio 1999 nuove concessioni televisive in ambito nazionale alle emittenti Canale 5 , Italia 1 , Telepiù bianco , TMC , TMC 2 , Italia 7 e [SEP] Elefante [SEP] Telemarket tv .
itwac	sicché capirete , tosto tosto , quatto quatto , alle dieci m' ero giò asserragliato nella torretta foderata di legno , in alto , inaccessibile , a tener d' occhio le mie legioni ( la camera dell' [SEP] Elefante [SEP] ...
itwac	Né avrebbero potuto andare diversamente , non ostante l' ardore degli ebrei , perché Israele di fronte a Roma era come una formica armata di fanatismo religioso di fronte ad un [SEP] elefante [SEP] armato di proboscide e di zampe da tre quintali l' una .
itwac	Anche Annibale fu " folle ' ad attraversare le Alpi con gli [SEP] elefanti [SEP] ma lo fece perche' ragiono' ad un livello diverso rispetto ai suoi contemporanei .
itwac	L' internet ha la memoria di un [SEP] elefante [SEP] .
itwac	Il parco è diviso in due settori , Tsavo East ( a nord della strada Mombasa-Nairobi ) e Tsavo West ( a sud ) ma costituisce un unico estesissimo habitat naturale di 21.000 kmq per foltissimi branchi di [SEP] elefanti [SEP] e rinoceronti e per le furiose corse di grandi mandrie di bufali .
itwac	VERSO 27 uccaihsravasam asvanam viddhi mam amritodbhavam airavatam gajendranam naranam ca naradhipam uccaihsravasam : Uccaihsrava ; asvanam : tra i cavalli ; viddhi : conosci ; mam : Me ; amrita-udbhavam : prodotto dall' oceano frullato ; airavatam : Airavata ; gaja-indranam : dei superbi [SEP] elefanti [SEP] ; naranam : tra gli esseri umani ; ca : e ; nara-adhipam : il re .
itwac	Nella caccia vengono usati anche [SEP] elefanti [SEP] addestrati .
itwac	Con le sue 180 persone , tra artisti e addetti alle funzioni logistiche , un centinaio di animali ( giraffe , [SEP] elefanti [SEP] , colombi , squali ) il circo di Moira Orfei è tra i più famosi e applauditi .
itwac	Perché non sono un [SEP] elefante [SEP] o una giraffa !? Però ...
itwac	- Un [SEP] elefante [SEP] .
itwac	La vera ragione di questo fatto è che all' uccisione dell' uomo segue , prima o poi , l' arrivo degli uomini bianchi in groppa agli [SEP] elefanti [SEP] , armati di fucile e accompagnati da centinaia di indigeni con gong , razzi e torce .
itwac	Infatti bastava che prendesse parte a qualche caccia perché accadessero delle gravi disgrazie fra il suo seguito ; bastava che montasse un cavallo perché dopo qualche giorno il povero animale si ammalasse ; che assistesse a qualche lotta di [SEP] elefanti [SEP] perché qualche palco crollasse travolgendo un gran numero di spettatori , o che intraprendesse qualche spedizione guerresca , contro le tribù bellicose sue vicine , perché le sue truppe , fino allora sempre vittoriose , subissero delle sconfitte sanguinose .
itwac	Quando l' [SEP] elefante [SEP] gira la testa a destra , si corre sul lato sinistro e gli si fa : Ehi , psi ' , psi ' " .
itwac	Intimamente legata all' esperienza poetica è l' attività drammaturgica : il suo Teatro è stato raccolto in un unico volume ( nella collana « Gli [SEP] Elefanti [SEP] » ) che comprende le opere pubblicate tra il 1978 e il 1982 ; i suoi testi più recenti sono Felicità turbate ( Garzanti 1995 ) e Ceneri e ardori ( Garzanti 1997 ) .
itwac	Michel Ardan lo trattò da ammaestratore d' [SEP] elefanti [SEP] e lo invitò ad andarsene lui in giro .
itwac	Tra i numerosi siti che lo compongono : Mboko , Lango , Mbouébé , Moba , Ekania , Ambéré , Maya , Lossi e il cammino degli [SEP] elefanti [SEP] .
itwac	Ha inoltre pubblicato i libri " Fiabe vegetali " ( Aelia Laelia 1984 ) , " Una poesia " ( Il pulcino [SEP] elefante [SEP] 1996 ) , " Ritratto " ( Il pulcino elefante 1998 ) .
itwac	In seguito , si trovano ancora registrazioni che parlano di rapporti ricevuti a proposito dell' [SEP] elefante [SEP] che era notevolmente dimagrito , e alla fine negli annali non si fa più menzione del caso .
